Running log until ^C
Timestamp                       Thread     Type        Activity             PID    TTL  
2024-03-25 07:38:14.562023-0700 0x29dc48a  Default     0x0                  48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxSimulated, Fix, 1, ll, 37.7858340, -122.4064170, acc, 5.00, course, -1.0, time, 733070295.6, deltaDistance, 0.0, deltaDistanceAccuracy, 1.9, odometer, 0.0, timestampGps, 733070295.6
2024-03-25 07:38:14.562182-0700 0x29a39a9  Activity    0x364e711            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:14.562263-0700 0x29a39a9  Activity    0x364e712            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:14.562299-0700 0x29a39a9  Activity    0x364e713            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:14.562326-0700 0x29a39a9  Activity    0x364e714            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:14.562350-0700 0x29a39a9  Activity    0x364e715            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:14.562373-0700 0x29a39a9  Activity    0x364e716            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:14.562716-0700 0x29a39a9  Activity    0x364e717            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:14.563301-0700 0x29dc48a  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxClient, Fix, 1, ll, 37.7858340, -122.4064170, acc, 5.00, speed, -1.0, course, -1.0, type, 1, alt, 0.0, altunc, -1.0,ellipsoidalAlt,0.0,speedUnc,-1.0,courseUnc,-1.0,signalEnv,0,timestamp,733070294.562
2024-03-25 07:38:14.563771-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] MovingApDetector, received location: lat, 37.78583400, lon, -122.40641700, alt, 0.0, acc, 5.0, vacc, -1.0, timestamp, 733070294.6, age, 0.0, type, 1, success: yes
2024-03-25 07:38:14.563753-0700 0x29e4306  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Core:Core] {"msg":"#pla #zone-relevance-tracker, location notification", "notification":5, "_currentLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF F4 88 C7 EA E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00', "NewLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 1B F2 47 EB E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00'}
2024-03-25 07:38:14.566279-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000d44778) wifi1Event
2024-03-25 07:38:14.566339-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:14.566665-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684387047797256, "end_mach":684387047953144, "elapsed_s":"0.000155888", "event":System::LeechLocation, "now_s":"733070294.566493034"}
2024-03-25 07:38:14.566841-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000d44778) wifi1Event
2024-03-25 07:38:14.567045-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000d44778) wifi1Event
2024-03-25 07:38:14.567179-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:14.567576-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684387048652733, "end_mach":684387048863690, "elapsed_s":"0.000210957", "event":System::LeechLocation, "now_s":"733070294.567350030"}
2024-03-25 07:38:14.567794-0700 0x2982d45  Default     0x364e711            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000d44778) wifi1Event
2024-03-25 07:38:14.664006-0700 0x29739ad  Default     0x0                  48542  0    UserEventAgent: (com.apple.cts) [com.apple.xpc.activity:Activities] Initiating: com.apple.cs.postinstall (0x10ba071f0)
2024-03-25 07:38:14.664163-0700 0x29739ad  Default     0x0                  48542  0    UserEventAgent: (libxpc.dylib) [com.apple.xpc:connection] [0x10ba07300] Channel could not return listener port.
2024-03-25 07:38:14.672418-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_dispatch: beginning dispatch, activity name com.apple.cs.postinstall, seqno 1
2024-03-25 07:38:14.711901-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_dispatch: com.apple.cs.postinstall (0x600003304000): found an activity with matching seqno 1
